,track_id,release_date,label,popularity,genres,artist_popularity,followers,bar_mean,bar_stdev,bar_stdev_normalized,bar_max,bar_min,bar_range,bar_range_normalized,bar_diff_stdev,region_5pct_count,region_2pct_count,region_5pct_cumsum,region_2pct_cumsum,bar_count,region_5pct_bar_count,region_2pct_bar_count
0,00dTSHDHnQAyE6gwGaMROJ,2014,"Big Machine Records, LLC",26,contemporary country,63,155480,2.0066607079646017,0.10554942841522176,0.05259953912302532,3.01176,1.56581,1.4459500000000003,0.7205752294151699,0.1179307677208838,3,8,0,0,113,102,51
51,00dTSHDHnQAyE6gwGaMROJ,2014,"Big Machine Records, LLC",26,contemporary country,63,155480,2.0066607079646017,0.10554942841522176,0.05259953912302532,3.01176,1.56581,1.4459500000000003,0.7205752294151699,0.1179307677208838,3,8,0,1,113,102,6
57,00dTSHDHnQAyE6gwGaMROJ,2014,"Big Machine Records, LLC",26,contemporary country,63,155480,2.0066607079646017,0.10554942841522176,0.05259953912302532,3.01176,1.56581,1.4459500000000003,0.7205752294151699,0.1179307677208838,3,8,0,2,113,102,4
61,00dTSHDHnQAyE6gwGaMROJ,2014,"Big Machine Records, LLC",26,contemporary country,63,155480,2.0066607079646017,0.10554942841522176,0.05259953912302532,3.01176,1.56581,1.4459500000000003,0.7205752294151699,0.1179307677208838,3,8,0,3,113,102,20
81,00dTSHDHnQAyE6gwGaMROJ,2014,"Big Machine Records, LLC",26,contemporary country,63,155480,2.0066607079646017,0.10554942841522176,0.05259953912302532,3.01176,1.56581,1.4459500000000003,0.7205752294151699,0.1179307677208838,3,8,0,4,113,102,20
101,00dTSHDHnQAyE6gwGaMROJ,2014,"Big Machine Records, LLC",26,contemporary country,63,155480,2.0066607079646017,0.10554942841522176,0.05259953912302532,3.01176,1.56581,1.4459500000000003,0.7205752294151699,0.1179307677208838,3,8,0,5,113,102,1
102,00dTSHDHnQAyE6gwGaMROJ,2014,"Big Machine Records, LLC",26,contemporary country,63,155480,2.0066607079646017,0.10554942841522176,0.05259953912302532,3.01176,1.56581,1.4459500000000003,0.7205752294151699,0.1179307677208838,3,8,1,6,113,1,1
103,00dTSHDHnQAyE6gwGaMROJ,2014,"Big Machine Records, LLC",26,contemporary country,63,155480,2.0066607079646017,0.10554942841522176,0.05259953912302532,3.01176,1.56581,1.4459500000000003,0.7205752294151699,0.1179307677208838,3,8,2,7,113,9,9
112,00dTSHDHnQAyE6gwGaMROJ,2014,"Big Machine Records, LLC",26,contemporary country,63,155480,2.0066607079646017,0.10554942841522176,0.05259953912302532,3.01176,1.56581,1.4459500000000003,0.7205752294151699,0.1179307677208838,3,8,3,8,113,1,1
113,00nXuyt44ypZJgBi6YLobX,1981,Parlophone,46,album rock::classic rock::folk rock::mellow gold::psychedelic rock::rock::roots rock::singer-songwriter::soft rock,73,1371892,1.975375514018692,0.20571895841966298,0.10414169708986094,3.4792,0.49363,2.98557,1.5113936458218897,0.2892817631990576,4,5,0,0,107,14,14
127,00nXuyt44ypZJgBi6YLobX,1981,Parlophone,46,album rock::classic rock::folk rock::mellow gold::psychedelic rock::rock::roots rock::singer-songwriter::soft rock,73,1371892,1.975375514018692,0.20571895841966298,0.10414169708986094,3.4792,0.49363,2.98557,1.5113936458218897,0.2892817631990576,4,5,1,1,107,1,1
128,00nXuyt44ypZJgBi6YLobX,1981,Parlophone,46,album rock::classic rock::folk rock::mellow gold::psychedelic rock::rock::roots rock::singer-songwriter::soft rock,73,1371892,1.975375514018692,0.20571895841966298,0.10414169708986094,3.4792,0.49363,2.98557,1.5113936458218897,0.2892817631990576,4,5,2,2,107,40,40
168,00nXuyt44ypZJgBi6YLobX,1981,Parlophone,46,album rock::classic rock::folk rock::mellow gold::psychedelic rock::rock::roots rock::singer-songwriter::soft rock,73,1371892,1.975375514018692,0.20571895841966298,0.10414169708986094,3.4792,0.49363,2.98557,1.5113936458218897,0.2892817631990576,4,5,3,3,107,1,1
169,00nXuyt44ypZJgBi6YLobX,1981,Parlophone,46,album rock::classic rock::folk rock::mellow gold::psychedelic rock::rock::roots rock::singer-songwriter::soft rock,73,1371892,1.975375514018692,0.20571895841966298,0.10414169708986094,3.4792,0.49363,2.98557,1.5113936458218897,0.2892817631990576,4,5,4,4,107,51,3
172,00nXuyt44ypZJgBi6YLobX,1981,Parlophone,46,album rock::classic rock::folk rock::mellow gold::psychedelic rock::rock::roots rock::singer-songwriter::soft rock,73,1371892,1.975375514018692,0.20571895841966298,0.10414169708986094,3.4792,0.49363,2.98557,1.5113936458218897,0.2892817631990576,4,5,4,5,107,51,48
220,01xavHmmWCgZUUtZONXj2S,2008,Fast Crowd Records,0,folk punk,1,139,1.554247529411765,0.14779525003568025,0.09509119187187398,2.6161,0.77553,1.8405699999999998,1.1842193506311052,0.21068726324959045,5,18,0,0,85,50,11
231,01xavHmmWCgZUUtZONXj2S,2008,Fast Crowd Records,0,folk punk,1,139,1.554247529411765,0.14779525003568025,0.09509119187187398,2.6161,0.77553,1.8405699999999998,1.1842193506311052,0.21068726324959045,5,18,0,1,85,50,12
243,01xavHmmWCgZUUtZONXj2S,2008,Fast Crowd Records,0,folk punk,1,139,1.554247529411765,0.14779525003568025,0.09509119187187398,2.6161,0.77553,1.8405699999999998,1.1842193506311052,0.21068726324959045,5,18,0,2,85,50,4
247,01xavHmmWCgZUUtZONXj2S,2008,Fast Crowd Records,0,folk punk,1,139,1.554247529411765,0.14779525003568025,0.09509119187187398,2.6161,0.77553,1.8405699999999998,1.1842193506311052,0.21068726324959045,5,18,0,3,85,50,2
249,01xavHmmWCgZUUtZONXj2S,2008,Fast Crowd Records,0,folk punk,1,139,1.554247529411765,0.14779525003568025,0.09509119187187398,2.6161,0.77553,1.8405699999999998,1.1842193506311052,0.21068726324959045,5,18,0,4,85,50,2
251,01xavHmmWCgZUUtZONXj2S,2008,Fast Crowd Records,0,folk punk,1,139,1.554247529411765,0.14779525003568025,0.09509119187187398,2.6161,0.77553,1.8405699999999998,1.1842193506311052,0.21068726324959045,5,18,0,5,85,50,2
253,01xavHmmWCgZUUtZONXj2S,2008,Fast Crowd Records,0,folk punk,1,139,1.554247529411765,0.14779525003568025,0.09509119187187398,2.6161,0.77553,1.8405699999999998,1.1842193506311052,0.21068726324959045,5,18,0,6,85,50,5
258,01xavHmmWCgZUUtZONXj2S,2008,Fast Crowd Records,0,folk punk,1,139,1.554247529411765,0.14779525003568025,0.09509119187187398,2.6161,0.77553,1.8405699999999998,1.1842193506311052,0.21068726324959045,5,18,0,7,85,50,2
260,01xavHmmWCgZUUtZONXj2S,2008,Fast Crowd Records,0,folk punk,1,139,1.554247529411765,0.14779525003568025,0.09509119187187398,2.6161,0.77553,1.8405699999999998,1.1842193506311052,0.21068726324959045,5,18,0,8,85,50,7
